dataset,model,proposed,standard,n,mean_removed,jaccard_mean,jaccard_median,shared_fraction_mean,exact_match_fraction
covertype,logistic_regression,conformal_harm_one_shot,crfe,10,3.0,0.02,0.0,0.03333333333333333,0.0
covertype,logistic_regression,conformal_harm_one_shot,mutual_information,10,3.0,0.02222222222222222,0.0,0.04,0.0
covertype,logistic_regression,conformal_harm_one_shot,permutation_importance,10,3.0,0.01111111111111111,0.0,0.02,0.0
covertype,logistic_regression,conformal_harm_one_shot,rfe,10,3.0,0.02222222222222222,0.0,0.04,0.0
covertype,logistic_regression,conformal_harm_one_shot,shap,10,3.0,0.0,0.0,0.0,0.0
covertype,logistic_regression,conformal_harm_recursive,crfe,10,4.6,0.05611111111111111,0.0,0.09333333333333334,0.0
covertype,logistic_regression,conformal_harm_recursive,mutual_information,10,4.6,0.02222222222222222,0.0,0.04,0.0
covertype,logistic_regression,conformal_harm_recursive,permutation_importance,10,4.6,0.03333333333333333,0.0,0.06000000000000001,0.0
covertype,logistic_regression,conformal_harm_recursive,rfe,10,4.6,0.02222222222222222,0.0,0.04,0.0
covertype,logistic_regression,conformal_harm_recursive,shap,10,4.6,0.01111111111111111,0.0,0.02,0.0
covertype,small_neural_network,conformal_harm_one_shot,crfe,10,1.0,0.0,0.0,0.0,0.0
covertype,small_neural_network,conformal_harm_one_shot,mutual_information,10,1.0,0.0,0.0,0.0,0.0
covertype,small_neural_network,conformal_harm_one_shot,permutation_importance,10,1.0,0.0,0.0,0.0,0.0
covertype,small_neural_network,conformal_harm_one_shot,rfe,10,1.0,0.0,0.0,0.0,0.0
covertype,small_neural_network,conformal_harm_one_shot,shap,10,1.0,0.1,0.0,0.1,0.1
covertype,small_neural_network,conformal_harm_recursive,crfe,10,2.3,0.0,0.0,0.0,0.0
covertype,small_neural_network,conformal_harm_recursive,mutual_information,10,2.3,0.047619047619047616,0.0,0.075,0.0
covertype,small_neural_network,conformal_harm_recursive,permutation_importance,10,2.3,0.045396825396825394,0.0,0.07833333333333334,0.0
covertype,small_neural_network,conformal_harm_recursive,rfe,10,2.3,0.045396825396825394,0.0,0.07833333333333334,0.0
covertype,small_neural_network,conformal_harm_recursive,shap,10,2.3,0.1,0.0,0.1,0.1
dry_bean,logistic_regression,conformal_harm_one_shot,crfe,19,1.263157894736842,0.20350877192982453,0.0,0.22807017543859648,0.15789473684210525
dry_bean,logistic_regression,conformal_harm_one_shot,mutual_information,19,1.263157894736842,0.20350877192982456,0.0,0.22807017543859648,0.15789473684210525
dry_bean,logistic_regression,conformal_harm_one_shot,permutation_importance,19,1.263157894736842,0.20175438596491227,0.0,0.2192982456140351,0.15789473684210525
dry_bean,logistic_regression,conformal_harm_one_shot,rfe,19,1.263157894736842,0.21929824561403505,0.0,0.2456140350877193,0.15789473684210525
dry_bean,logistic_regression,conformal_harm_one_shot,shap,19,1.263157894736842,0.20175438596491227,0.0,0.2192982456140351,0.15789473684210525
dry_bean,logistic_regression,conformal_harm_recursive,crfe,19,2.5789473684210527,0.2145363408521303,0.2,0.30087719298245613,0.05263157894736842
dry_bean,logistic_regression,conformal_harm_recursive,mutual_information,19,2.5789473684210527,0.11804511278195488,0.0,0.1868421052631579,0.0
dry_bean,logistic_regression,conformal_harm_recursive,permutation_importance,19,2.5789473684210527,0.11992481203007518,0.0,0.18421052631578946,0.0
dry_bean,logistic_regression,conformal_harm_recursive,rfe,19,2.5789473684210527,0.19536340852130327,0.2,0.2807017543859649,0.0
dry_bean,logistic_regression,conformal_harm_recursive,shap,19,2.5789473684210527,0.14385964912280702,0.0,0.2175438596491228,0.0
dry_bean,small_neural_network,conformal_harm_one_shot,crfe,19,1.736842105263158,0.04895572263993317,0.0,0.0807017543859649,0.0
dry_bean,small_neural_network,conformal_harm_one_shot,mutual_information,19,1.736842105263158,0.005847953216374269,0.0,0.010526315789473684,0.0
dry_bean,small_neural_network,conformal_harm_one_shot,permutation_importance,19,1.736842105263158,0.030701754385964907,0.0,0.04736842105263158,0.0
dry_bean,small_neural_network,conformal_harm_one_shot,rfe,19,1.736842105263158,0.02819548872180451,0.0,0.04736842105263158,0.0
dry_bean,small_neural_network,conformal_harm_one_shot,shap,19,1.736842105263158,0.030701754385964907,0.0,0.04736842105263158,0.0
dry_bean,small_neural_network,conformal_harm_recursive,crfe,19,2.8421052631578947,0.1010860484544695,0.0,0.15263157894736842,0.0
dry_bean,small_neural_network,conformal_harm_recursive,mutual_information,19,2.8421052631578947,0.017543859649122806,0.0,0.03157894736842106,0.0
dry_bean,small_neural_network,conformal_harm_recursive,permutation_importance,19,2.8421052631578947,0.07435254803675856,0.0,0.11842105263157894,0.0
dry_bean,small_neural_network,conformal_harm_recursive,rfe,19,2.8421052631578947,0.0816624895572264,0.0,0.12894736842105264,0.0
dry_bean,small_neural_network,conformal_harm_recursive,shap,19,2.8421052631578947,0.06432748538011696,0.0,0.10526315789473684,0.0
human_activity_recognition,logistic_regression,conformal_harm_one_shot,crfe,20,4.35,0.03825396825396825,0.0,0.06583333333333333,0.0
human_activity_recognition,logistic_regression,conformal_harm_one_shot,mutual_information,20,4.35,0.005555555555555555,0.0,0.01,0.0
human_activity_recognition,logistic_regression,conformal_harm_one_shot,permutation_importance,20,4.35,0.03539682539682539,0.0,0.06166666666666667,0.0
human_activity_recognition,logistic_regression,conformal_harm_one_shot,rfe,20,4.35,0.0,0.0,0.0,0.0
human_activity_recognition,logistic_regression,conformal_harm_one_shot,shap,20,4.35,0.0,0.0,0.0,0.0
human_activity_recognition,logistic_regression,conformal_harm_recursive,crfe,20,4.85,0.03492063492063492,0.0,0.0625,0.0
human_activity_recognition,logistic_regression,conformal_harm_recursive,mutual_information,20,4.85,0.005555555555555555,0.0,0.01,0.0
human_activity_recognition,logistic_regression,conformal_harm_recursive,permutation_importance,20,4.85,0.05317460317460317,0.0,0.095,0.0
human_activity_recognition,logistic_regression,conformal_harm_recursive,rfe,20,4.85,0.0,0.0,0.0,0.0
human_activity_recognition,logistic_regression,conformal_harm_recursive,shap,20,4.85,0.007142857142857143,0.0,0.0125,0.0
human_activity_recognition,small_neural_network,conformal_harm_one_shot,crfe,19,1.4210526315789473,0.0,0.0,0.0,0.0
human_activity_recognition,small_neural_network,conformal_harm_one_shot,mutual_information,19,1.4210526315789473,0.0,0.0,0.0,0.0
human_activity_recognition,small_neural_network,conformal_harm_one_shot,permutation_importance,19,1.4210526315789473,0.0,0.0,0.0,0.0
human_activity_recognition,small_neural_network,conformal_harm_one_shot,rfe,19,1.4210526315789473,0.0,0.0,0.0,0.0
human_activity_recognition,small_neural_network,conformal_harm_one_shot,shap,19,1.4210526315789473,0.0,0.0,0.0,0.0
human_activity_recognition,small_neural_network,conformal_harm_recursive,crfe,20,3.25,0.0,0.0,0.0,0.0
human_activity_recognition,small_neural_network,conformal_harm_recursive,mutual_information,20,3.25,0.0,0.0,0.0,0.0
human_activity_recognition,small_neural_network,conformal_harm_recursive,permutation_importance,20,3.25,0.01111111111111111,0.0,0.02,0.0
human_activity_recognition,small_neural_network,conformal_harm_recursive,rfe,20,3.25,0.0,0.0,0.0,0.0
human_activity_recognition,small_neural_network,conformal_harm_recursive,shap,20,3.25,0.0,0.0,0.0,0.0
