experiment,dataset,seed,split_id,selection_data_id,code_version,classifier_refit,final_calibration_used_for_selection,final_test_used_for_selection,model,method,target_size,n_features,ranking_source,selection_seed,repetition,subset_frozen_before_final_calibration,phase8_primary_selected,tuning_n_removed,tuning_max_accuracy_loss,tuning_max_coverage_shortfall,tuning_efficiency_gain,tuning_conditional_violation,alpha,scaling,score,raps_lambda,raps_k_reg,subject_id,window_count,accuracy,coverage,mean_size,size_p90,all_features_accuracy,all_features_coverage,all_features_mean_size,all_features_size_p90,accuracy_difference_vs_all,coverage_difference_vs_all,mean_size_difference_vs_all,size_p90_difference_vs_all,mean_size_reduction_vs_all
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,logistic_regression,all_features,561,561,none,43,-1,True,True,,,,,,0.1,base,aps,,,6,325,0.8553846153846154,0.7846153846153846,0.9784615384615384,1.0,0.8553846153846154,0.7846153846153846,0.9784615384615384,1.0,0.0,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,logistic_regression,all_features,561,561,none,43,-1,True,True,,,,,,0.1,base,aps,,,8,281,0.9715302491103204,0.900355871886121,0.9644128113879004,1.0,0.9715302491103204,0.900355871886121,0.9644128113879004,1.0,0.0,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,logistic_regression,all_features,561,561,none,43,-1,True,True,,,,,,0.1,base,aps,,,14,323,0.7739938080495357,0.7368421052631579,0.9752321981424148,1.0,0.7739938080495357,0.7368421052631579,0.9752321981424148,1.0,0.0,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,logistic_regression,all_features,561,561,none,43,-1,True,True,,,,,,0.1,base,aps,,,19,360,0.95,0.8916666666666667,0.9583333333333334,1.0,0.95,0.8916666666666667,0.9583333333333334,1.0,0.0,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,logistic_regression,all_features,561,561,none,43,-1,True,True,,,,,,0.1,base,aps,,,25,409,0.8948655256723717,0.8753056234718827,1.0317848410757946,1.0,0.8948655256723717,0.8753056234718827,1.0317848410757946,1.0,0.0,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,logistic_regression,conformal_harm_one_shot,556,556,selection_train+tune_crossfit,43,-1,True,True,5.0,-0.0005787037037037,0.0170807553493168,0.0046374172896795,0.0672845661457416,0.1,base,aps,,,6,325,0.8676923076923077,0.7938461538461539,0.9846153846153848,1.0,0.8553846153846154,0.7846153846153846,0.9784615384615384,1.0,0.0123076923076922,0.0092307692307692,0.0061538461538461,0.0,-0.0061538461538461
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,logistic_regression,conformal_harm_one_shot,556,556,selection_train+tune_crossfit,43,-1,True,True,5.0,-0.0005787037037037,0.0170807553493168,0.0046374172896795,0.0672845661457416,0.1,base,aps,,,8,281,0.9715302491103204,0.9074733096085408,0.9750889679715302,1.0,0.9715302491103204,0.900355871886121,0.9644128113879004,1.0,0.0,0.0071174377224199,0.0106761565836298,0.0,-0.0106761565836298
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,logistic_regression,conformal_harm_one_shot,556,556,selection_train+tune_crossfit,43,-1,True,True,5.0,-0.0005787037037037,0.0170807553493168,0.0046374172896795,0.0672845661457416,0.1,base,aps,,,14,323,0.7770897832817337,0.7430340557275542,0.9752321981424148,1.0,0.7739938080495357,0.7368421052631579,0.9752321981424148,1.0,0.003095975232198,0.0061919504643963,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,logistic_regression,conformal_harm_one_shot,556,556,selection_train+tune_crossfit,43,-1,True,True,5.0,-0.0005787037037037,0.0170807553493168,0.0046374172896795,0.0672845661457416,0.1,base,aps,,,19,360,0.9555555555555556,0.8916666666666667,0.9611111111111112,1.0,0.95,0.8916666666666667,0.9583333333333334,1.0,0.0055555555555556,0.0,0.0027777777777777,0.0,-0.0027777777777777
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,logistic_regression,conformal_harm_one_shot,556,556,selection_train+tune_crossfit,43,-1,True,True,5.0,-0.0005787037037037,0.0170807553493168,0.0046374172896795,0.0672845661457416,0.1,base,aps,,,25,409,0.8924205378973105,0.8753056234718827,1.0317848410757946,1.0,0.8948655256723717,0.8753056234718827,1.0317848410757946,1.0,-0.0024449877750611,0.0,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,logistic_regression,conformal_harm_recursive,556,556,selection_train+tune_crossfit,43,-1,True,True,5.0,-0.0046376858296811,0.0159220052419007,0.008348908653433,0.0678972578095119,0.1,base,aps,,,6,325,0.8676923076923077,0.8,0.9876923076923076,1.0,0.8553846153846154,0.7846153846153846,0.9784615384615384,1.0,0.0123076923076922,0.0153846153846154,0.0092307692307691,0.0,-0.0092307692307691
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,logistic_regression,conformal_harm_recursive,556,556,selection_train+tune_crossfit,43,-1,True,True,5.0,-0.0046376858296811,0.0159220052419007,0.008348908653433,0.0678972578095119,0.1,base,aps,,,8,281,0.9715302491103204,0.9181494661921707,0.9786476868327402,1.0,0.9715302491103204,0.900355871886121,0.9644128113879004,1.0,0.0,0.0177935943060498,0.0142348754448398,0.0,-0.0142348754448398
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,logistic_regression,conformal_harm_recursive,556,556,selection_train+tune_crossfit,43,-1,True,True,5.0,-0.0046376858296811,0.0159220052419007,0.008348908653433,0.0678972578095119,0.1,base,aps,,,14,323,0.7739938080495357,0.7492260061919505,0.9876160990712074,1.0,0.7739938080495357,0.7368421052631579,0.9752321981424148,1.0,0.0,0.0123839009287926,0.0123839009287924,0.0,-0.0123839009287924
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,logistic_regression,conformal_harm_recursive,556,556,selection_train+tune_crossfit,43,-1,True,True,5.0,-0.0046376858296811,0.0159220052419007,0.008348908653433,0.0678972578095119,0.1,base,aps,,,19,360,0.95,0.8944444444444445,0.9638888888888888,1.0,0.95,0.8916666666666667,0.9583333333333334,1.0,0.0,0.0027777777777777,0.0055555555555555,0.0,-0.0055555555555555
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,logistic_regression,conformal_harm_recursive,556,556,selection_train+tune_crossfit,43,-1,True,True,5.0,-0.0046376858296811,0.0159220052419007,0.008348908653433,0.0678972578095119,0.1,base,aps,,,25,409,0.8924205378973105,0.8777506112469438,1.0415647921760391,1.0,0.8948655256723717,0.8753056234718827,1.0317848410757946,1.0,-0.0024449877750611,0.002444987775061,0.0097799511002445,0.0,-0.0097799511002445
