dataset,model,method,mean_size,accuracy,coverage,ece,sscv,class_coverage_gap
covertype,logistic_regression,all_features,1.6372154983683753,0.7239828163079847,0.8995673096782187,0.0056714766873651404,0.100538348234815,0.5476626628357408
covertype,logistic_regression,conformal_harm_one_shot,1.6368385724317402,0.7239807509603866,0.8995941591969929,0.00556582466554955,0.10008054354082725,0.5489979249269503
covertype,logistic_regression,conformal_harm_recursive,1.635946342269404,0.7238268825643356,0.8995466562022388,0.00551491234569393,0.09988227794736257,0.5518021588312381
covertype,small_neural_network,all_features,1.2357563302903878,0.8618612912553182,0.900102234706101,0.00681767357943705,0.07788009216004091,0.16780726801429202
covertype,small_neural_network,conformal_harm_one_shot,1.2300518402247098,0.8646753273575942,0.900378991284233,0.00602833125202542,0.07748602705138338,0.177281522856394
covertype,small_neural_network,conformal_harm_recursive,1.2314841587839234,0.863889462596555,0.9003118674872981,0.00591203475375264,0.07740969044200052,0.1857354790540569
dry_bean,logistic_regression,all_features,1.0946672542970473,0.9233362714852358,0.901432349052446,0.015867969768991217,0.05386852496053468,0.059885250452562835
dry_bean,logistic_regression,conformal_harm_one_shot,1.0956588805641252,0.9228294402820627,0.9013882767739092,0.01625188188584027,0.05374459116516465,0.06105837574396801
dry_bean,logistic_regression,conformal_harm_recursive,1.0960996033494932,0.9225870427501102,0.9014984574702511,0.016449877795813424,0.054100424896500285,0.06116519107004779
dry_bean,small_neural_network,all_features,1.0804980167474658,0.9251211987659762,0.8990744821507273,0.015146176072575216,0.05377822822433141,0.05954308474692739
dry_bean,small_neural_network,conformal_harm_one_shot,1.0635301895107978,0.9284045835169679,0.8993609519612165,0.01294100674571907,0.05533850604663294,0.057397112250937986
dry_bean,small_neural_network,conformal_harm_recursive,1.062736888497135,0.9288012340237991,0.8987439400617012,0.01298868157634121,0.05292246901102552,0.056900938000817525
human_activity_recognition,logistic_regression,all_features,1.0021850385926085,0.9277557899705065,0.8882458966319533,0.04321106218317527,0.06438580556868799,0.13444966570464625
human_activity_recognition,logistic_regression,conformal_harm_one_shot,1.0013612845837447,0.9289785020150403,0.8891453498746076,0.042552113544320994,0.06493247991406814,0.13186363979170793
human_activity_recognition,logistic_regression,conformal_harm_recursive,1.0007665417883838,0.9278118571608637,0.8879721192264702,0.043207511948550936,0.06682838823445204,0.13472155112963852
human_activity_recognition,small_neural_network,all_features,1.0217819204355452,0.9177112841427657,0.8882141357925899,0.04824585593043915,0.07423530810941684,0.14581927590642513
human_activity_recognition,small_neural_network,conformal_harm_one_shot,1.0040081053577061,0.9203711768175726,0.8882472428561223,0.05574983523060101,0.07444615840872275,0.15119967608649082
human_activity_recognition,small_neural_network,conformal_harm_recursive,1.0085579772315056,0.9213673378198308,0.8922214691222621,0.055194384142744045,0.06681529376154166,0.14220508449894037
