dataset,model,method,mean_size,accuracy,coverage,ece,sscv,class_coverage_gap,all_mean_size,all_accuracy,all_coverage,coverage_delta_vs_all,size_mean_difference,size_ci_lower,size_ci_upper,size_cohens_dz,size_holm_sign_flip_pvalue,accuracy_mean_difference,accuracy_ci_lower,accuracy_ci_upper,accuracy_cohens_dz,accuracy_holm_sign_flip_pvalue
Covertype,LR,All features,1.637215498368375,0.7239828163079847,0.8995673096782187,0.0056714766873651,0.100538348234815,0.5476626628357408,1.637215498368375,0.7239828163079847,0.8995673096782187,0.0,,,,,,,,,,
Covertype,LR,One-shot,1.6368385724317402,0.7239807509603866,0.8995941591969929,0.0055658246655495,0.1000805435408272,0.5489979249269503,1.637215498368375,0.7239828163079847,0.8995673096782187,2.6849518774185732e-05,0.0003769259366351,-0.0014426956578717,0.002196547531142,0.1481827719705158,0.666015625,-2.065347598001477e-06,-0.000277281368926,0.00027315067373,-0.0053683672205224,0.998046875
Covertype,LR,Recursive,1.635946342269404,0.7238268825643356,0.8995466562022388,0.0055149123456939,0.0998822779473625,0.5518021588312381,1.637215498368375,0.7239828163079847,0.8995673096782187,-2.0653475979903746e-05,0.0012691560989714,-0.0005784688686793,0.0031167810666222,0.4913873735471289,0.3125,-0.000155933743649,-0.0005522319486376,0.0002403644613395,-0.2814756135380828,0.8984375
Covertype,Small NN,All features,1.2357563302903878,0.8618612912553182,0.900102234706101,0.006817673579437,0.0778800921600409,0.167807268014292,1.2357563302903878,0.8618612912553182,0.900102234706101,0.0,,,,,,,,,,
Covertype,Small NN,One-shot,1.2300518402247098,0.8646753273575942,0.900378991284233,0.0060283312520254,0.0774860270513833,0.177281522856394,1.2357563302903878,0.8618612912553182,0.900102234706101,0.00027675657813208687,0.005704490065678,-0.0041830634956639,0.01559204362702,0.4127154748853738,0.45703125,0.0028140361022759,-0.0004528883073841,0.0060809605119361,0.6161881656831217,0.1640625
Covertype,Small NN,Recursive,1.2314841587839234,0.863889462596555,0.9003118674872981,0.0059120347537526,0.0774096904420005,0.1857354790540569,1.2357563302903878,0.8618612912553182,0.900102234706101,0.00020963278119712214,0.0042721715064645,-0.0060367779064231,0.0145811209193522,0.2964538158291778,0.45703125,0.0020281713412367,-0.0011750994528737,0.0052314421353471,0.4529327892331311,0.1875
Dry Bean,LR,All features,1.0946672542970473,0.9233362714852358,0.901432349052446,0.0158679697689912,0.0538685249605346,0.0598852504525628,1.0946672542970473,0.9233362714852358,0.901432349052446,0.0,,,,,,,,,,
Dry Bean,LR,One-shot,1.0956588805641252,0.9228294402820628,0.9013882767739092,0.0162518818858402,0.0537445911651646,0.061058375743968,1.0946672542970473,0.9233362714852358,0.901432349052446,-4.407227853675533e-05,-0.0009916262670779,-0.0024545445875512,0.0004712920533952,-0.3172394331809052,0.1843643188476562,-0.0005068312031732,-0.0010874462750973,7.378386875093361e-05,-0.4085396955372092,0.1015625
Dry Bean,LR,Recursive,1.0960996033494932,0.9225870427501102,0.9014984574702511,0.0164498777958134,0.0541004248965002,0.0611651910700477,1.0946672542970473,0.9233362714852358,0.901432349052446,6.61084178051885e-05,-0.0014323490524459,-0.0028564871243795,-8.210980512412397e-06,-0.4707127804374225,0.1069183349609375,-0.0007492287351256,-0.0014917210274289,-6.73644282235097e-06,-0.4722605815271443,0.1002197265625
Dry Bean,Small NN,All features,1.0804980167474658,0.9251211987659762,0.8990744821507273,0.0151461760725752,0.0537782282243314,0.0595430847469273,1.0804980167474658,0.9251211987659762,0.8990744821507273,0.0,,,,,,,,,,
Dry Bean,Small NN,One-shot,1.0635301895107978,0.928404583516968,0.8993609519612165,0.012941006745719,0.0553385060466329,0.0573971122509379,1.0804980167474658,0.9251211987659762,0.8990744821507273,0.0002864698104891872,0.0169678272366681,0.0079142933602985,0.0260213611130378,0.8771367844695505,7.62939453125e-06,0.0032833847509916,0.0014006830110494,0.0051660864909337,0.8162054204776997,0.00164794921875
Dry Bean,Small NN,Recursive,1.062736888497135,0.9288012340237992,0.8987439400617012,0.0129886815763412,0.0529224690110255,0.0569009380008175,1.0804980167474658,0.9251211987659762,0.8990744821507273,-0.00033054208902605353,0.0177611282503305,0.0087772135291997,0.0267450429714614,0.9252607747795074,7.62939453125e-06,0.0036800352578228,0.0018815196349838,0.0054785508806618,0.9576283324554332,0.000518798828125
HAR,LR,All features,1.0021850385926083,0.9277557899705065,0.8882458966319533,0.0432110621831752,0.0643858055686879,0.1344496657046462,1.0021850385926083,0.9277557899705065,0.8882458966319533,0.0,,,,,,,,,,
HAR,LR,One-shot,1.0013612845837447,0.9289785020150404,0.8891453498746076,0.0425521135443209,0.0649324799140681,0.1318636397917079,1.0021850385926083,0.9277557899705065,0.8882458966319533,0.0008994532426542801,0.0008237540088639,-0.0019972418635364,0.0036447498812643,0.1366640579897175,0.6997833251953125,0.0012227120445338,-0.0001892820719941,0.0026347061610618,0.4052756630120614,0.1697540283203125
HAR,LR,Recursive,1.0007665417883838,0.9278118571608636,0.8879721192264702,0.0432075119485509,0.066828388234452,0.1347215511296385,1.0021850385926083,0.9277557899705065,0.8882458966319533,-0.0002737774054830666,0.0014184968042248,-0.0017042628564267,0.0045412564648763,0.2125930305181791,0.6997833251953125,5.606719035728957e-05,-0.0015576849608864,0.0016698193416009,0.0162603983483314,0.944744110107422
HAR,Small NN,All features,1.0217819204355452,0.9177112841427656,0.8882141357925899,0.0482458559304391,0.0742353081094168,0.1458192759064251,1.0217819204355452,0.9177112841427656,0.8882141357925899,0.0,,,,,,,,,,
