dataset,model,method,reference_method,metric,positive_direction,target_size_rule,target_size_min,target_size_max,n_pairs,mean_difference,median_difference,standard_deviation,standard_error,ci_lower,ci_upper,cohens_dz,rank_biserial,sign_flip_pvalue,wilcoxon_pvalue,positive_fraction,holm_sign_flip_pvalue,holm_wilcoxon_pvalue
Covertype,LR,One-shot,MI,mean_size,proposed_smaller,matched_within_seed,49,53,10,0.0013589987194845,0.0016316246024206,0.002808725927777,0.0008881971254945,-0.0006502427699296,0.0033682402088986,0.4838488177307015,0.4909090909090909,0.15234375,0.193359375,0.8,0.76171875,0.966796875
Covertype,LR,One-shot,MI,accuracy,proposed_higher,matched_within_seed,49,53,10,0.000194142674212,0.000201371390805,0.000487410364358,0.0001541326906543,-0.000154529695973,0.0005428150443972,0.3983146203052041,0.4909090909090909,0.236328125,0.193359375,0.7,1.0,1.0
Covertype,LR,One-shot,RFE,mean_size,proposed_smaller,matched_within_seed,49,53,10,0.000210665454996,0.0005369903754802,0.002439521462118,0.0007714444221157,-0.0015344630701937,0.0019557939801859,0.086355237396918,0.2363636363636363,0.78515625,0.556640625,0.7,1.0,1.0
Covertype,LR,One-shot,RFE,accuracy,proposed_higher,matched_within_seed,49,53,10,0.000104300053699,7.228716592999618e-05,0.0003652497139006,0.000115502101065,-0.0001569838515436,0.0003655839589416,0.2855582077947931,0.3333333333333333,0.359375,0.4140625,0.6,1.0,1.0
Covertype,LR,One-shot,CRFE,mean_size,proposed_smaller,matched_within_seed,49,53,10,0.0106664876698748,0.0124953529679044,0.0097539154201665,0.0030844588832364,0.0036889569138049,0.0176440184259447,1.0935595820137611,0.8909090909090909,0.0078125,0.009765625,0.9,0.0703125,0.087890625
Covertype,LR,One-shot,CRFE,accuracy,proposed_higher,matched_within_seed,49,53,10,0.0010760460985583,0.0007848320872402,0.0014261437446914,0.0004509862504026,5.584432188649076e-05,0.0020962478752302,0.7545144748302977,0.9636363636363636,0.00390625,0.00390625,0.9,0.0390625,0.0390625
Covertype,LR,One-shot,Permutation,mean_size,proposed_smaller,matched_within_seed,49,53,10,0.0002922466851171,0.0011617580238755,0.002632942663383,0.000832609576492,-0.0015912470321587,0.002175740402393,0.110996220761452,0.2363636363636363,0.736328125,0.556640625,0.7,1.0,1.0
Covertype,LR,One-shot,Permutation,accuracy,proposed_higher,matched_within_seed,49,53,10,-0.000105332727498,-0.00018588128382,0.0004031926701945,0.0001275007173699,-0.0003937593885584,0.0001830939335624,-0.2612466328993553,-0.3818181818181818,0.4296875,0.30859375,0.3,1.0,1.0
Covertype,LR,One-shot,SHAP,mean_size,proposed_smaller,matched_within_seed,49,53,10,0.0020199099508447,0.0025300508075509,0.0028511905618055,0.000901625621848,-1.970890778123322e-05,0.0040595288094707,0.7084443873739588,0.6363636363636364,0.060546875,0.083984375,0.7,0.423828125,0.50390625
Covertype,LR,One-shot,SHAP,accuracy,proposed_higher,matched_within_seed,49,53,10,9.294064190989991e-06,3.098021397002215e-05,0.0004574549372666,0.0001446599528651,-0.000317949484353,0.000336537612735,0.0203168955756027,0.0181818181818181,0.923828125,1.0,0.5,1.0,1.0
Covertype,LR,Recursive,MI,mean_size,proposed_smaller,matched_within_seed,49,51,10,0.0023834111280927,0.003067041183031,0.0035207422635555,0.0011133564607252,-0.0001351761642845,0.00490199842047,0.6769626827740989,0.7454545454545455,0.0625,0.037109375,0.7,0.423828125,0.259765625
Covertype,LR,Recursive,MI,accuracy,proposed_higher,matched_within_seed,49,51,10,1.6522780784022918e-05,5.163368995031448e-06,0.0006327218949674,0.0002000842313555,-0.0004360991963398,0.0004691447579078,0.0261138122695621,0.0909090909090909,0.93359375,0.845703125,0.5,1.0,1.0
Covertype,LR,Recursive,RFE,mean_size,proposed_smaller,matched_within_seed,49,51,10,0.0010275104300052,0.0020550208600106,0.0024409541357769,0.0007718974733062,-0.0007186429681803,0.0027736638281909,0.4209462254718893,0.4909090909090909,0.208984375,0.193359375,0.7,0.76171875,0.966796875
Covertype,LR,Recursive,RFE,accuracy,proposed_higher,matched_within_seed,49,51,10,4.130695195991852e-06,9.81040109050424e-05,0.0005465523572702,0.0001728350309508,-0.0003868493080518,0.0003951106984438,0.0075577300894323,0.109090909090909,0.984375,0.791015625,0.6,1.0,1.0
Covertype,LR,Recursive,CRFE,mean_size,proposed_smaller,matched_within_seed,49,51,10,0.0164556569870709,0.0158205626006856,0.0065324583447417,0.0020657447089557,0.0117826177971941,0.0211286961769476,2.5190603779841405,1.0,0.001953125,0.001953125,1.0,0.01953125,0.01953125
Covertype,LR,Recursive,CRFE,accuracy,proposed_higher,matched_within_seed,49,51,10,0.0012361105374034,0.0009810401090503,0.0014419276350453,0.0004559775547883,0.0002046176457638,0.002267603429043,0.8572625334035088,0.8909090909090909,0.009765625,0.009765625,0.9,0.087890625,0.087890625
Covertype,LR,Recursive,Permutation,mean_size,proposed_smaller,matched_within_seed,49,51,10,0.0013042670081374,0.0016367879714155,0.0027448843844665,0.0008680086568743,-0.0006593049923817,0.0032678390086565,0.4751628212533669,0.4909090909090909,0.1640625,0.193359375,0.7,0.76171875,0.966796875
Covertype,LR,Recursive,Permutation,accuracy,proposed_higher,matched_within_seed,49,51,10,-0.0004130695196001,-0.0004698665785451,0.0006205979093029,0.0001962502904536,-0.0008570185198509,3.0879480650689755e-05,-0.6655992767750201,-0.6,0.0625,0.10546875,0.3,0.5,0.84375
Covertype,LR,Recursive,SHAP,mean_size,proposed_smaller,matched_within_seed,49,51,10,0.0035017968524102,0.0036195216654962,0.0038436571041779,0.0012154710993889,0.0007522101987533,0.0062513835060671,0.9110585979701296,0.7818181818181819,0.01953125,0.02734375,0.7,0.15625,0.21875
Covertype,LR,Recursive,SHAP,accuracy,proposed_higher,matched_within_seed,49,51,10,8.05485563220354e-05,-2.5816844975046216e-05,0.0006170709620842,0.0001951349718137,-0.0003608774178789,0.0005219745305229,0.1305337007756208,-0.1636363636363636,0.78125,0.6953125,0.3,1.0,1.0
Covertype,Small NN,One-shot,MI,mean_size,proposed_smaller,matched_within_seed,53,53,10,0.0013476393076955,0.0010068569540254,0.0062310248315387,0.0019704230624729,-0.0031097673368204,0.0058050459522114,0.2162789178554277,0.3454545454545454,0.521484375,0.375,0.6,1.0,1.0
Covertype,Small NN,One-shot,MI,accuracy,proposed_higher,matched_within_seed,53,53,10,-0.0004647032095501,0.000211698128795,0.0028889489161155,0.0009135658618799,-0.0025313327676899,0.0016019263485895,-0.1608554609456437,-0.1636363636363636,0.626953125,0.6953125,0.5,1.0,1.0
