dataset,model,method,stability_type,top_k,seed_pairs,spearman_mean,spearman_min,jaccard_mean,jaccard_min,kuncheva_mean,kuncheva_min
Covertype,LR,mutual_information,complete_harmfulness_ranking,1,45,0.8913546365118691,0.8360205831903944,0.3555555555555555,0.0,0.3433962264150943,-0.0188679245283018
Covertype,LR,mutual_information,complete_harmfulness_ranking,3,45,0.8913546365118691,0.8360205831903944,0.2288888888888889,0.0,0.2941176470588235,-0.0588235294117647
Covertype,LR,mutual_information,complete_harmfulness_ranking,5,45,0.8913546365118691,0.8360205831903944,0.1984126984126984,0.0,0.2408163265306122,-0.1020408163265306
Covertype,LR,rfe,complete_harmfulness_ranking,1,45,0.9707108824089956,0.9383266628549646,1.0,1.0,1.0,1.0
Covertype,LR,rfe,complete_harmfulness_ranking,3,45,0.9707108824089956,0.9383266628549646,0.8111111111111111,0.5,0.8666666666666667,0.6470588235294118
Covertype,LR,rfe,complete_harmfulness_ranking,5,45,0.9707108824089956,0.9383266628549646,0.8,0.6666666666666666,0.8677551020408163,0.7795918367346939
Covertype,LR,crfe,complete_harmfulness_ranking,1,45,0.7971192003896406,0.6030493615399276,0.6222222222222222,0.0,0.6150943396226415,-0.0188679245283018
Covertype,LR,crfe,complete_harmfulness_ranking,3,45,0.7971192003896406,0.6030493615399276,0.9,0.5,0.9294117647058824,0.6470588235294118
Covertype,LR,crfe,complete_harmfulness_ranking,5,45,0.7971192003896406,0.6030493615399276,0.6169312169312169,0.4285714285714285,0.7257142857142858,0.5591836734693878
Covertype,LR,permutation_importance,complete_harmfulness_ranking,1,45,0.8676797323338203,0.7863159900895749,0.0888888888888888,0.0,0.0716981132075471,-0.0188679245283018
Covertype,LR,permutation_importance,complete_harmfulness_ranking,3,45,0.8676797323338203,0.7863159900895749,0.1466666666666666,0.0,0.1843137254901961,-0.0588235294117647
Covertype,LR,permutation_importance,complete_harmfulness_ranking,5,45,0.8676797323338203,0.7863159900895749,0.168342151675485,0.0,0.196734693877551,-0.1020408163265306
Covertype,LR,shap,complete_harmfulness_ranking,1,45,0.7316900662812611,0.5858967028778349,0.4888888888888889,0.0,0.4792452830188679,-0.0188679245283018
Covertype,LR,shap,complete_harmfulness_ranking,3,45,0.7316900662812611,0.5858967028778349,0.5088888888888888,0.2,0.6313725490196079,0.2941176470588235
Covertype,LR,shap,complete_harmfulness_ranking,5,45,0.7316900662812611,0.5858967028778349,0.6283068783068783,0.25,0.7306122448979592,0.3387755102040816
Covertype,Small NN,mutual_information,complete_harmfulness_ranking,1,45,0.8913546365118691,0.8360205831903944,0.3555555555555555,0.0,0.3433962264150943,-0.0188679245283018
Covertype,Small NN,mutual_information,complete_harmfulness_ranking,3,45,0.8913546365118691,0.8360205831903944,0.2288888888888889,0.0,0.2941176470588235,-0.0588235294117647
Covertype,Small NN,mutual_information,complete_harmfulness_ranking,5,45,0.8913546365118691,0.8360205831903944,0.1984126984126984,0.0,0.2408163265306122,-0.1020408163265306
Covertype,Small NN,rfe,complete_harmfulness_ranking,1,45,0.9707108824089956,0.9383266628549646,1.0,1.0,1.0,1.0
Covertype,Small NN,rfe,complete_harmfulness_ranking,3,45,0.9707108824089956,0.9383266628549646,0.8111111111111111,0.5,0.8666666666666667,0.6470588235294118
Covertype,Small NN,rfe,complete_harmfulness_ranking,5,45,0.9707108824089956,0.9383266628549646,0.8,0.6666666666666666,0.8677551020408163,0.7795918367346939
Covertype,Small NN,crfe,complete_harmfulness_ranking,1,45,0.7971192003896406,0.6030493615399276,0.6222222222222222,0.0,0.6150943396226415,-0.0188679245283018
Covertype,Small NN,crfe,complete_harmfulness_ranking,3,45,0.7971192003896406,0.6030493615399276,0.9,0.5,0.9294117647058824,0.6470588235294118
Covertype,Small NN,crfe,complete_harmfulness_ranking,5,45,0.7971192003896406,0.6030493615399276,0.6169312169312169,0.4285714285714285,0.7257142857142858,0.5591836734693878
Covertype,Small NN,permutation_importance,complete_harmfulness_ranking,1,45,0.9705584143319992,0.9490756622832092,0.4666666666666667,0.0,0.4566037735849057,-0.0188679245283018
Covertype,Small NN,permutation_importance,complete_harmfulness_ranking,3,45,0.9705584143319992,0.9490756622832092,0.4711111111111111,0.2,0.592156862745098,0.2941176470588235
Covertype,Small NN,permutation_importance,complete_harmfulness_ranking,5,45,0.9705584143319992,0.9490756622832092,0.6002645502645502,0.25,0.7110204081632653,0.3387755102040816
Covertype,Small NN,shap,complete_harmfulness_ranking,1,45,0.755951125510874,0.6462740613684009,0.4888888888888889,0.0,0.4792452830188679,-0.0188679245283018
Covertype,Small NN,shap,complete_harmfulness_ranking,3,45,0.755951125510874,0.6462740613684009,0.5088888888888888,0.2,0.6313725490196079,0.2941176470588235
Covertype,Small NN,shap,complete_harmfulness_ranking,5,45,0.755951125510874,0.6462740613684009,0.6283068783068783,0.25,0.7306122448979592,0.3387755102040816
Dry Bean,LR,mutual_information,complete_harmfulness_ranking,1,190,0.988529411764706,0.9647058823529412,1.0,1.0,1.0,1.0
Dry Bean,LR,mutual_information,complete_harmfulness_ranking,3,190,0.988529411764706,0.9647058823529412,1.0,1.0,1.0,1.0
Dry Bean,LR,mutual_information,complete_harmfulness_ranking,5,190,0.988529411764706,0.9647058823529412,0.8298245614035087,0.6666666666666666,0.8514832535885167,0.7090909090909091
Dry Bean,LR,rfe,complete_harmfulness_ranking,1,190,0.788297213622291,0.3470588235294117,1.0,1.0,1.0,1.0
Dry Bean,LR,rfe,complete_harmfulness_ranking,3,190,0.788297213622291,0.3470588235294117,0.95,0.5,0.958974358974359,0.5897435897435898
Dry Bean,LR,rfe,complete_harmfulness_ranking,5,190,0.788297213622291,0.3470588235294117,0.680952380952381,0.4285714285714285,0.7044976076555023,0.4181818181818181
Dry Bean,LR,crfe,complete_harmfulness_ranking,1,190,0.3160061919504643,-0.3764705882352941,0.3631578947368421,0.0,0.3207017543859649,-0.0666666666666666
Dry Bean,LR,crfe,complete_harmfulness_ranking,3,190,0.3160061919504643,-0.3764705882352941,0.3263157894736842,0.0,0.2960863697705803,-0.2307692307692307
Dry Bean,LR,crfe,complete_harmfulness_ranking,5,190,0.3160061919504643,-0.3764705882352941,0.4474310776942355,0.1111111111111111,0.3982775119617225,-0.1636363636363636
Dry Bean,LR,permutation_importance,complete_harmfulness_ranking,1,190,0.9322755417956656,0.8441176470588234,1.0,1.0,1.0,1.0
Dry Bean,LR,permutation_importance,complete_harmfulness_ranking,3,190,0.9322755417956656,0.8441176470588234,0.6921052631578948,0.5,0.7473684210526316,0.5897435897435898
Dry Bean,LR,permutation_importance,complete_harmfulness_ranking,5,190,0.9322755417956656,0.8441176470588234,0.7368421052631579,0.6666666666666666,0.7703349282296651,0.7090909090909091
Dry Bean,LR,shap,complete_harmfulness_ranking,1,190,0.7760835913312694,0.4205882352941176,1.0,1.0,1.0,1.0
Dry Bean,LR,shap,complete_harmfulness_ranking,3,190,0.7760835913312694,0.4205882352941176,0.4926315789473683,0.2,0.5379217273954116,0.1794871794871795
Dry Bean,LR,shap,complete_harmfulness_ranking,5,190,0.7760835913312694,0.4205882352941176,0.5426900584795321,0.1111111111111111,0.5483253588516747,-0.1636363636363636
Dry Bean,Small NN,mutual_information,complete_harmfulness_ranking,1,190,0.988529411764706,0.9647058823529412,1.0,1.0,1.0,1.0
Dry Bean,Small NN,mutual_information,complete_harmfulness_ranking,3,190,0.988529411764706,0.9647058823529412,1.0,1.0,1.0,1.0
Dry Bean,Small NN,mutual_information,complete_harmfulness_ranking,5,190,0.988529411764706,0.9647058823529412,0.8298245614035087,0.6666666666666666,0.8514832535885167,0.7090909090909091
Dry Bean,Small NN,rfe,complete_harmfulness_ranking,1,190,0.788297213622291,0.3470588235294117,1.0,1.0,1.0,1.0
Dry Bean,Small NN,rfe,complete_harmfulness_ranking,3,190,0.788297213622291,0.3470588235294117,0.95,0.5,0.958974358974359,0.5897435897435898
Dry Bean,Small NN,rfe,complete_harmfulness_ranking,5,190,0.788297213622291,0.3470588235294117,0.680952380952381,0.4285714285714285,0.7044976076555023,0.4181818181818181
Dry Bean,Small NN,crfe,complete_harmfulness_ranking,1,190,0.3160061919504643,-0.3764705882352941,0.3631578947368421,0.0,0.3207017543859649,-0.0666666666666666
Dry Bean,Small NN,crfe,complete_harmfulness_ranking,3,190,0.3160061919504643,-0.3764705882352941,0.3263157894736842,0.0,0.2960863697705803,-0.2307692307692307
Dry Bean,Small NN,crfe,complete_harmfulness_ranking,5,190,0.3160061919504643,-0.3764705882352941,0.4474310776942355,0.1111111111111111,0.3982775119617225,-0.1636363636363636
Dry Bean,Small NN,permutation_importance,complete_harmfulness_ranking,1,190,0.7284520123839009,0.3705882352941176,0.9,0.0,0.8933333333333333,-0.0666666666666666
Dry Bean,Small NN,permutation_importance,complete_harmfulness_ranking,3,190,0.7284520123839009,0.3705882352941176,0.4489473684210526,0.2,0.4882591093117409,0.1794871794871795
Dry Bean,Small NN,permutation_importance,complete_harmfulness_ranking,5,190,0.7284520123839009,0.3705882352941176,0.4623015873015872,0.1111111111111111,0.4426794258373205,-0.1636363636363636
Dry Bean,Small NN,shap,complete_harmfulness_ranking,1,190,0.6021671826625387,0.1147058823529411,0.9,0.0,0.8933333333333333,-0.0666666666666666
Dry Bean,Small NN,shap,complete_harmfulness_ranking,3,190,0.6021671826625387,0.1147058823529411,0.4205263157894737,0.2,0.4666666666666667,0.1794871794871795
