dataset,model,method,scaling,n,feature_size_gain,feature_ci_lo,feature_ci_hi,coverage_delta,cov_ci_lo,cov_ci_hi,scaling_size_gain_all,scaling_ci_lo,scaling_ci_hi,combined_size_gain_vs_base_all,comb_ci_lo,comb_ci_hi,interaction,int_ci_lo,int_ci_hi,temp_mean,temp_min,temp_max,frac_T_lt1,frac_T_gt1,mean_size,coverage
Covertype,LR,One-shot,base,10,0.0003769259366351,-0.0014426956578717,0.002196547531142,2.6849518774008096e-05,-0.0002388698642965,0.0002925689018446,0.0,0.0,0.0,0.0003769259366351,-0.0014426956578717,0.002196547531142,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.6368385724317402,0.8995941591969929
Covertype,LR,One-shot,ts,10,0.0003769259366351,-0.0014426956578717,0.002196547531142,2.6849518774008096e-05,-0.0002388698642965,0.0002925689018446,0.0,0.0,0.0,0.0003769259366351,-0.0014426956578717,0.002196547531142,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.6368385724317402,0.8995941591969929
Covertype,LR,One-shot,confts,10,0.0003769259366351,-0.0014426956578717,0.002196547531142,2.6849518774008096e-05,-0.0002388698642965,0.0002925689018446,0.0,0.0,0.0,0.0003769259366351,-0.0014426956578717,0.002196547531142,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.6368385724317402,0.8995941591969929
Covertype,LR,Recursive,base,10,0.0012691560989714,-0.0005784688686793,0.0031167810666222,-2.065347598003697e-05,-0.0002747738474711,0.000233466895511,0.0,0.0,0.0,0.0012691560989714,-0.0005784688686793,0.0031167810666222,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.635946342269404,0.8995466562022388
Covertype,LR,Recursive,ts,10,0.0012691560989714,-0.0005784688686793,0.0031167810666222,-2.065347598003697e-05,-0.0002747738474711,0.000233466895511,0.0,0.0,0.0,0.0012691560989714,-0.0005784688686793,0.0031167810666222,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.635946342269404,0.8995466562022388
Covertype,LR,Recursive,confts,10,0.0012691560989714,-0.0005784688686793,0.0031167810666222,-2.065347598003697e-05,-0.0002747738474711,0.000233466895511,0.0,0.0,0.0,0.0012691560989714,-0.0005784688686793,0.0031167810666222,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.635946342269404,0.8995466562022388
Covertype,Small NN,One-shot,base,10,0.005704490065678,-0.0041830634956639,0.01559204362702,0.000276756578132,-0.0004223475993091,0.0009758607555732,0.0,0.0,0.0,0.005704490065678,-0.0041830634956639,0.01559204362702,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.2300518402247098,0.900378991284233
Covertype,Small NN,One-shot,ts,10,0.00561981081416,-0.0038435850974675,0.0150832067257875,0.000306704118303,-0.000385244780652,0.0009986530172581,-0.0009696806972613,-0.0031632508321983,0.0012238894376756,0.0046501301168986,-0.0053096967530757,0.014609956986873,-8.467925151800504e-05,-0.003499827799978,0.003330469296942,1.01,1.0,1.1,0.0,0.1,1.2311062001734894,0.9004099714982031
Covertype,Small NN,One-shot,confts,10,0.0046800776570696,-0.0066980044853118,0.0160581597994511,0.000272625882936,-0.0004248666609365,0.0009701184268085,0.0,0.0,0.0,0.0046800776570696,-0.0066980044853118,0.0160581597994511,-0.0010244124086083,-0.0033417942764011,0.0012929694591844,1.01,1.0,1.1,0.0,0.1,1.231076252633318,0.900374860589037
Covertype,Small NN,Recursive,base,10,0.0042721715064645,-0.0060367779064231,0.0145811209193522,0.000209632781197,-0.0004705525022038,0.0008898180645979,0.0,0.0,0.0,0.0042721715064645,-0.0060367779064231,0.0145811209193522,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.2314841587839234,0.9003118674872981
Covertype,Small NN,Recursive,ts,10,0.0043083150894295,-0.0059790586858668,0.0145956888647259,0.0001683258292369,-0.00049572887146,0.000832380529934,-0.0009696806972613,-0.0031632508321983,0.0012238894376756,0.0033386343921681,-0.0077241186980197,0.014401387482356,3.614358296499809e-05,-4.561888212846352e-05,0.0001179060480584,1.01,1.0,1.1,0.0,0.1,1.2324176958982196,0.9002715932091372
Covertype,Small NN,Recursive,confts,10,0.0042721715064645,-0.0060367779064231,0.0145811209193522,0.000209632781197,-0.0004705525022038,0.0008898180645979,0.0,0.0,0.0,0.0042721715064645,-0.0060367779064231,0.0145811209193522,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.2314841587839234,0.9003118674872981
Dry Bean,LR,One-shot,base,20,-0.0009916262670779,-0.0024545445875512,0.0004712920533952,-4.407227853681084e-05,-0.0011019757719602,0.0010138312148866,0.0,0.0,0.0,-0.0009916262670779,-0.0024545445875512,0.0004712920533952,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0956588805641252,0.9013882767739092
Dry Bean,LR,One-shot,ts,20,0.0001542529748788,-0.0023238833996174,0.0026323893493751,-4.407227853680529e-05,-0.0012183417428894,0.0011301971858158,-0.0013882767739091,-0.003390632120884,0.0006140785730656,-0.0012340237990303,-0.002762405096152,0.0002943574980913,0.0011458792419567,-0.0008487730398548,0.0031405315237683,1.005,1.0,1.1,0.0,0.05,1.0959012780960775,0.9012340237990303
Dry Bean,LR,One-shot,confts,20,-0.0009916262670779,-0.0024545445875512,0.0004712920533952,-4.407227853681084e-05,-0.0011019757719602,0.0010138312148866,0.0,0.0,0.0,-0.0009916262670779,-0.0024545445875512,0.0004712920533952,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0956588805641252,0.9013882767739092
Dry Bean,LR,Recursive,base,20,-0.0014323490524459,-0.0028564871243795,-8.210980512412397e-06,6.61084178051885e-05,-0.001058235386978,0.0011904522225884,0.0,0.0,0.0,-0.0014323490524459,-0.0028564871243795,-8.210980512412397e-06,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0960996033494932,0.9014984574702511
Dry Bean,LR,Recursive,ts,20,-0.0002864698104892,-0.0030198292402412,0.0024468896192628,6.610841780519406e-05,-0.0011863620491705,0.0013185788847808,-0.0013882767739091,-0.003390632120884,0.0006140785730656,-0.0016747465843984,-0.0031494417693738,-0.0002000513994229,0.0011458792419567,-0.0008487730398548,0.0031405315237683,1.005,1.0,1.1,0.0,0.05,1.0963420008814455,0.9013442044953723
Dry Bean,LR,Recursive,confts,20,-0.0014323490524459,-0.0028564871243795,-8.210980512412397e-06,6.61084178051885e-05,-0.001058235386978,0.0011904522225884,0.0,0.0,0.0,-0.0014323490524459,-0.0028564871243795,-8.210980512412397e-06,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0960996033494932,0.9014984574702511
Dry Bean,Small NN,One-shot,base,20,0.0169678272366681,0.0079142933602985,0.0260213611130378,0.0002864698104891,-0.0014383227776448,0.0020112623986232,0.0,0.0,0.0,0.0169678272366681,0.0079142933602985,0.0260213611130378,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0635301895107978,0.8993609519612165
